run_no,run_time,chat_id,chat_title,question,page_url,account_uid,account_uid_masked,account_nickname,web_account_uid,source_device,mumu_instance,mumu_serial,question_sent_at,answer_completed_at,captured_at,source_uploaded_at,receiver_received_at,product_index,product_name,brand_name,evidence,product_count,rank_type,extraction_method,review_status,model,reviewed_at,answer_hash,extracted_at
5137,2026-07-14 12:16:04,38434822226067714,推荐美白面霜,推荐美白面霜,https://www.doubao.com/chat/38434822226067714,,,,,,,,,,,,,1,谷雨美白油霜,,温和修护，干敏皮首选,3,appearance_order,anthropic,ai_verified,deepseek-v4-pro,2026-07-14 12:16:07,643c71dbc8cef4ebf2264b61bcf3e26892d7eddd5cb3ed15516586be9afeb12c,2026-07-14T04:16:02.383Z
5137,2026-07-14 12:16:04,38434822226067714,推荐美白面霜,推荐美白面霜,https://www.doubao.com/chat/38434822226067714,,,,,,,,,,,,,2,HBN 原白霜 2.0,,高效美白，全肤质通用,3,appearance_order,anthropic,ai_verified,deepseek-v4-pro,2026-07-14 12:16:07,643c71dbc8cef4ebf2264b61bcf3e26892d7eddd5cb3ed15516586be9afeb12c,2026-07-14T04:16:02.383Z
5137,2026-07-14 12:16:04,38434822226067714,推荐美白面霜,推荐美白面霜,https://www.doubao.com/chat/38434822226067714,,,,,,,,,,,,,3,焕颜计小白罐,,美白抗老，敏肌友好,3,appearance_order,anthropic,ai_verified,deepseek-v4-pro,2026-07-14 12:16:07,643c71dbc8cef4ebf2264b61bcf3e26892d7eddd5cb3ed15516586be9afeb12c,2026-07-14T04:16:02.383Z
5139,2026-07-14 12:23:37,38434768995001346,推荐美白面霜,推荐美白面霜,https://www.doubao.com/chat/38434768995001346,,,,,,,,,,,,,1,谷雨 美白油霜,谷雨,适合：干皮 / 敏感肌，温和提亮,3,explicit_rank,anthropic,ai_verified,deepseek-v4-pro,2026-07-14 12:23:42,15c3a2db77bc9b5bb1838a26065aab92ccb74f2e981a2e8f2b158a1538ed04a6,2026-07-14T04:23:35.383Z
5139,2026-07-14 12:23:37,38434768995001346,推荐美白面霜,推荐美白面霜,https://www.doubao.com/chat/38434768995001346,,,,,,,,,,,,,2,HBN 原白霜 2.0,HBN,适合：全肤质，高效淡斑痘印,3,explicit_rank,anthropic,ai_verified,deepseek-v4-pro,2026-07-14 12:23:42,15c3a2db77bc9b5bb1838a26065aab92ccb74f2e981a2e8f2b158a1538ed04a6,2026-07-14T04:23:35.383Z
5139,2026-07-14 12:23:37,38434768995001346,推荐美白面霜,推荐美白面霜,https://www.doubao.com/chat/38434768995001346,,,,,,,,,,,,,3,韩方五谷 377 美白面霜,韩方五谷,适合：预算有限，入门美白,3,explicit_rank,anthropic,ai_verified,deepseek-v4-pro,2026-07-14 12:23:42,15c3a2db77bc9b5bb1838a26065aab92ccb74f2e981a2e8f2b158a1538ed04a6,2026-07-14T04:23:35.383Z
5140,2026-07-14 12:24:10,38434822296393474,推荐美白面霜,推荐美白面霜,https://www.doubao.com/chat/38434822296393474,,,,,,,,,,,,,1,谷雨美白油霜,谷雨,推荐 3 款口碑款：✨ 谷雨美白油霜（干皮 / 敏感肌，温和提亮）,3,appearance_order,anthropic,ai_verified,deepseek-v4-pro,2026-07-14 12:24:18,6a0beb46514700cbe3e4a6724c6272f8b886250d6ed20a5f72af202a0e6fc00a,2026-07-14T04:24:08.380Z
5140,2026-07-14 12:24:10,38434822296393474,推荐美白面霜,推荐美白面霜,https://www.doubao.com/chat/38434822296393474,,,,,,,,,,,,,2,HBN 原白霜 2.0,HBN,✨ HBN 原白霜 2.0（全肤质，高效淡斑）,3,appearance_order,anthropic,ai_verified,deepseek-v4-pro,2026-07-14 12:24:18,6a0beb46514700cbe3e4a6724c6272f8b886250d6ed20a5f72af202a0e6fc00a,2026-07-14T04:24:08.380Z
5140,2026-07-14 12:24:10,38434822296393474,推荐美白面霜,推荐美白面霜,https://www.doubao.com/chat/38434822296393474,,,,,,,,,,,,,3,韩方五谷 377 美白面霜,韩方五谷,✨ 韩方五谷 377 美白面霜（平价入门，改善暗沉）,3,appearance_order,anthropic,ai_verified,deepseek-v4-pro,2026-07-14 12:24:18,6a0beb46514700cbe3e4a6724c6272f8b886250d6ed20a5f72af202a0e6fc00a,2026-07-14T04:24:08.380Z
5141,2026-07-14 12:24:45,38434822278246146,推荐美白面霜,推荐美白面霜,https://www.doubao.com/chat/38434822278246146,,,,,,,,,,,,,1,谷雨 美白油霜,谷雨,谷雨 美白油霜（温和修护，干敏皮首选）,3,appearance_order,anthropic,ai_verified,deepseek-v4-pro,2026-07-14 12:24:52,addbec986a6fef9b61940046b4f09db6718f6605ebd09940bcf76422d0ccda82,2026-07-14T04:24:44.393Z
